resource_log	status	exit_status	cpu_seconds	counted_in_completed_total	duplicate_inode	peak_rss_bytes	wall_elapsed	command
data_aware_rebuild_2026_09_23/logs/input_hashes_resources.txt	COMPLETED_NONZERO	124	4.20	1	0	3735552	6:00.00	"""timeout 360s taskset -c 2 prlimit --as=17179869184:17179869184 --cpu=60:60 sha256sum /rwproject/kdd-db/kluaq/dataset/gist/gist_base.fvecs /rwproject/kdd-db/kluaq/dataset/sift1m/hf_download/sift_base.fvecs /rwproject/kdd-db/kluaq/quant-hardness/runs/phase4a_gap_guided_refinement_v1/sift_learn.fvecs"""
data_aware_rebuild_2026_09_23/logs/persist_gist_learn_resources.txt	COMPLETED_SUCCESS	0	0.98	1	0	3342336	0:37.77	"""timeout 180s taskset -c 0 prlimit --as=268435456:268435456 --cpu=30:30 cp /tmp/saq-data-aware-rebuild-20260923/inputs/gist_learn.fvecs results/data_aware_rebuild_2026_09_23/inputs/gist_learn.fvecs"""
data_aware_rebuild_2026_09_23/logs/persist_prefix_resources.txt	COMPLETED_SUCCESS	0	0.45	1	0	3342336	0:12.80	"""timeout 180s taskset -c 1 prlimit --as=268435456:268435456 --cpu=30:30 cp /tmp/saq-data-aware-rebuild-20260923/gist.tar.gz.part results/data_aware_rebuild_2026_09_23/downloads/gist.tar.gz.part"""
data_aware_rebuild_2026_09_23/logs/rebuild_gist_resources.txt	COMPLETED_SUCCESS	0	177.10	1	0	4188999680	3:39.42	"""timeout 2100s taskset -c 0-1 prlimit --as=17179869184:17179869184 --cpu=4000:4000 env OMP_NUM_THREADS=2 OMP_THREAD_LIMIT=2 OMP_MAX_ACTIVE_LEVELS=1 OMP_DYNAMIC=FALSE OPENBLAS_NUM_THREADS=2 MKL_NUM_THREADS=1 results/data_aware_rebuild_2026_09_23/bin/correlated_pair_rebuild_panel gist /tmp/saq-data-aware-rebuild-20260923/inputs/gist_learn.fvecs /tmp/saq-data-aware-rebuild-20260923/inputs/gist_base.fvecs results/data_aware_minimal_2026_09_23/inputs/gist_indices.u64 results/data_aware_rebuild_2026_09_23/panels/gist"""
data_aware_rebuild_2026_09_23/logs/rebuild_sift_resources.txt	COMPLETED_SUCCESS	0	9.03	1	0	179924992	0:05.93	"""timeout 700s taskset -c 0-1 prlimit --as=17179869184:17179869184 --cpu=600:600 env OMP_NUM_THREADS=2 OMP_THREAD_LIMIT=2 OMP_MAX_ACTIVE_LEVELS=1 OMP_DYNAMIC=FALSE OPENBLAS_NUM_THREADS=2 MKL_NUM_THREADS=1 results/data_aware_rebuild_2026_09_23/bin/correlated_pair_rebuild_panel sift /tmp/saq-data-aware-rebuild-20260923/inputs/sift_learn.fvecs /tmp/saq-data-aware-rebuild-20260923/inputs/sift_base.fvecs results/data_aware_minimal_2026_09_23/inputs/sift_indices.u64 results/data_aware_rebuild_2026_09_23/panels/sift"""
data_aware_rebuild_2026_09_23/logs/stage_inputs_resources.txt	COMPLETED_SUCCESS	0	10.14	1	0	31895552	7:18.84	"""timeout 1200s taskset -c 2 prlimit --as=268435456:268435456 --cpu=90:90 python3 results/data_aware_rebuild_2026_09_23/stage_inputs.py"""
data_aware_rebuild_2026_09_23/logs/strong_baselines_resources.txt	COMPLETED_SUCCESS	0	118.19	1	0	108146688	2:00.04	"""timeout 2100s taskset -c 0 env OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1 OMP_THREAD_LIMIT=1 MKL_NUM_THREADS=1 NUMEXPR_NUM_THREADS=1 PYTHONDONTWRITEBYTECODE=1 python3 -B -m research.correlated_pair_allocation.strong_baselines --sift-panel results/data_aware_rebuild_2026_09_23/panels/sift/residual_nlist1024.fvecs --gist-panel results/data_aware_rebuild_2026_09_23/panels/gist/residual_nlist1024.fvecs --sift-indices results/data_aware_minimal_2026_09_23/inputs/sift_indices.u64 --gist-indices results/data_aware_minimal_2026_09_23/inputs/gist_indices.u64 --output results/data_aware_rebuild_2026_09_23/strong_baselines_v1 --cpu-seconds 2000 --frozen"""
data_aware_rebuild_2026_09_23/logs/summarize_results_resources.txt	COMPLETED_SUCCESS	0	0.01	1	0	9830400	0:00.08	"""taskset -c 0 prlimit --as=268435456:268435456 --cpu=10:10 python3 -B results/data_aware_rebuild_2026_09_23/summarize_results.py"""
data_aware_rebuild_2026_09_23/logs/verify_persistent_buffered_resources.txt	COMPLETED_SUCCESS	0	3.65	1	0	30425088	0:03.76	"""timeout 450s taskset -c 2 prlimit --as=268435456:268435456 --cpu=30:30 python3 -B results/data_aware_rebuild_2026_09_23/verify_persistent_learn.py"""
data_aware_rebuild_2026_09_23/logs/verify_persistent_learn_resources.txt	COMPLETED_NONZERO	124	0.59	1	0	3735552	1:00.00	"""timeout 60s taskset -c 0 prlimit --as=268435456:268435456 --cpu=30:30 sha256sum results/data_aware_rebuild_2026_09_23/inputs/gist_learn.fvecs"""
data_aware_rebuild_2026_09_23/logs/verify_persistent_learn_retry_resources.txt	COMPLETED_NONZERO	124	5.83	1	0	3735552	10:00.00	"""timeout 600s taskset -c 2 prlimit --as=268435456:268435456 --cpu=30:30 sha256sum results/data_aware_rebuild_2026_09_23/inputs/gist_learn.fvecs"""
data_aware_recovery_followup_2026_09_23/gist_hash_resources.txt	COMPLETED_NONZERO	124	0.73	1	0	3735552	2:00.00	"""timeout 120s taskset -c 0 prlimit --as=17179869184:17179869184 --cpu=120:120 sha256sum /rwproject/kdd-db/kluaq/dataset/gist/gist_base.fvecs"""
data_aware_recovery_followup_2026_09_23/resources.txt	COMPLETED_SUCCESS	0	0.20	1	0	8060928	0:04.21	"""timeout 120s taskset -c 0-3 prlimit --as=17179869184:17179869184 --cpu=120:120 bash -c set -x; date -Is; hostname; cat /usr/lib/tmpfiles.d/tmp.conf; for p in /rwproject/kdd-db/kluaq/.snapshot /rwproject/kdd-db/.snapshot /rwproject/kdd-db/kluaq/.snapshots /homes/kluaq/.snapshot /homes/kluaq/.snapshots /rwproject/kdd-db/kluaq/.local/share/Trash /homes/kluaq/.local/share/Trash; do stat ""$p""; done; git rev-list --objects --all | rg ""residual_nlist1024|STAGE_SOURCE|(^|/)(pca|coarse)\\.faiss|base_pca\\.fvecs|stage-diagnostic|stages-v2|common/(sift|gist)|\\.tar(\\.gz)?$|\\.zip$""; git status --short --branch; date -Is"""
data_aware_recovery_retry_2026_09_23/gist_archive_list_resources.txt	COMPLETED_SUCCESS	0	23.69	1	0	3342336	0:53.02	"""timeout 100s taskset -c 0 prlimit --as=17179869184:17179869184 --cpu=90:90 tar -tzf /rwproject/kdd-db/kluaq/dataset/gist.tar.gz"""
