dataset	dimensions	fold	segment	rotation	allocation	pair	coordinate0	bits_per_coordinate	original_bits
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	20	40	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	21	42	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	22	44	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	23	46	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	24	48	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	25	50	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	26	52	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	27	54	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	28	56	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	29	58	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	30	60	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	31	62	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	32	64	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	33	66	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	34	68	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	35	70	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	36	72	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	37	74	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	38	76	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	39	78	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	40	80	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	41	82	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	42	84	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	43	86	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	44	88	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	45	90	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	46	92	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	47	94	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	48	96	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	49	98	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	50	100	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	51	102	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	52	104	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	53	106	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	54	108	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	55	110	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	56	112	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	57	114	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	58	116	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	59	118	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	60	120	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	61	122	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	62	124	4	4
sift	128	A_TO_B	0	IDENTITY	ADAPTIVE	63	126	4	4
sift	128	A_TO_B	0	QR	UNIFORM	0	0	4	4
sift	128	A_TO_B	0	QR	UNIFORM	1	2	4	4
sift	128	A_TO_B	0	QR	UNIFORM	2	4	4	4
sift	128	A_TO_B	0	QR	UNIFORM	3	6	4	4
sift	128	A_TO_B	0	QR	UNIFORM	4	8	4	4
sift	128	A_TO_B	0	QR	UNIFORM	5	10	4	4
sift	128	A_TO_B	0	QR	UNIFORM	6	12	4	4
sift	128	A_TO_B	0	QR	UNIFORM	7	14	4	4
sift	128	A_TO_B	0	QR	UNIFORM	8	16	4	4
sift	128	A_TO_B	0	QR	UNIFORM	9	18	4	4
sift	128	A_TO_B	0	QR	UNIFORM	10	20	4	4
sift	128	A_TO_B	0	QR	UNIFORM	11	22	4	4
sift	128	A_TO_B	0	QR	UNIFORM	12	24	4	4
sift	128	A_TO_B	0	QR	UNIFORM	13	26	4	4
sift	128	A_TO_B	0	QR	UNIFORM	14	28	4	4
sift	128	A_TO_B	0	QR	UNIFORM	15	30	4	4
sift	128	A_TO_B	0	QR	UNIFORM	16	32	4	4
sift	128	A_TO_B	0	QR	UNIFORM	17	34	4	4
sift	128	A_TO_B	0	QR	UNIFORM	18	36	4	4
sift	128	A_TO_B	0	QR	UNIFORM	19	38	4	4
sift	128	A_TO_B	0	QR	UNIFORM	20	40	4	4
sift	128	A_TO_B	0	QR	UNIFORM	21	42	4	4
sift	128	A_TO_B	0	QR	UNIFORM	22	44	4	4
sift	128	A_TO_B	0	QR	UNIFORM	23	46	4	4
sift	128	A_TO_B	0	QR	UNIFORM	24	48	4	4
sift	128	A_TO_B	0	QR	UNIFORM	25	50	4	4
sift	128	A_TO_B	0	QR	UNIFORM	26	52	4	4
sift	128	A_TO_B	0	QR	UNIFORM	27	54	4	4
sift	128	A_TO_B	0	QR	UNIFORM	28	56	4	4
sift	128	A_TO_B	0	QR	UNIFORM	29	58	4	4
sift	128	A_TO_B	0	QR	UNIFORM	30	60	4	4
sift	128	A_TO_B	0	QR	UNIFORM	31	62	4	4
sift	128	A_TO_B	0	QR	UNIFORM	32	64	4	4
sift	128	A_TO_B	0	QR	UNIFORM	33	66	4	4
sift	128	A_TO_B	0	QR	UNIFORM	34	68	4	4
sift	128	A_TO_B	0	QR	UNIFORM	35	70	4	4
sift	128	A_TO_B	0	QR	UNIFORM	36	72	4	4
sift	128	A_TO_B	0	QR	UNIFORM	37	74	4	4
sift	128	A_TO_B	0	QR	UNIFORM	38	76	4	4
sift	128	A_TO_B	0	QR	UNIFORM	39	78	4	4
sift	128	A_TO_B	0	QR	UNIFORM	40	80	4	4
sift	128	A_TO_B	0	QR	UNIFORM	41	82	4	4
sift	128	A_TO_B	0	QR	UNIFORM	42	84	4	4
sift	128	A_TO_B	0	QR	UNIFORM	43	86	4	4
sift	128	A_TO_B	0	QR	UNIFORM	44	88	4	4
sift	128	A_TO_B	0	QR	UNIFORM	45	90	4	4
sift	128	A_TO_B	0	QR	UNIFORM	46	92	4	4
sift	128	A_TO_B	0	QR	UNIFORM	47	94	4	4
sift	128	A_TO_B	0	QR	UNIFORM	48	96	4	4
sift	128	A_TO_B	0	QR	UNIFORM	49	98	4	4
sift	128	A_TO_B	0	QR	UNIFORM	50	100	4	4
sift	128	A_TO_B	0	QR	UNIFORM	51	102	4	4
sift	128	A_TO_B	0	QR	UNIFORM	52	104	4	4
sift	128	A_TO_B	0	QR	UNIFORM	53	106	4	4
sift	128	A_TO_B	0	QR	UNIFORM	54	108	4	4
sift	128	A_TO_B	0	QR	UNIFORM	55	110	4	4
sift	128	A_TO_B	0	QR	UNIFORM	56	112	4	4
sift	128	A_TO_B	0	QR	UNIFORM	57	114	4	4
sift	128	A_TO_B	0	QR	UNIFORM	58	116	4	4
sift	128	A_TO_B	0	QR	UNIFORM	59	118	4	4
sift	128	A_TO_B	0	QR	UNIFORM	60	120	4	4
sift	128	A_TO_B	0	QR	UNIFORM	61	122	4	4
sift	128	A_TO_B	0	QR	UNIFORM	62	124	4	4
sift	128	A_TO_B	0	QR	UNIFORM	63	126	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	0	0	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	1	2	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	2	4	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	3	6	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	4	8	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	5	10	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	6	12	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	7	14	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	8	16	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	9	18	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	10	20	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	11	22	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	12	24	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	13	26	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	14	28	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	15	30	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	16	32	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	17	34	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	18	36	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	19	38	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	20	40	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	21	42	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	22	44	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	23	46	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	24	48	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	25	50	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	26	52	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	27	54	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	28	56	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	29	58	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	30	60	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	31	62	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	32	64	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	33	66	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	34	68	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	35	70	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	36	72	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	37	74	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	38	76	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	39	78	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	40	80	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	41	82	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	42	84	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	43	86	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	44	88	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	45	90	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	46	92	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	47	94	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	48	96	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	49	98	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	50	100	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	51	102	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	52	104	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	53	106	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	54	108	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	55	110	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	56	112	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	57	114	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	58	116	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	59	118	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	60	120	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	61	122	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	62	124	4	4
sift	128	A_TO_B	0	QR	ADAPTIVE	63	126	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	0	0	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	1	2	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	2	4	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	3	6	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	4	8	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	5	10	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	6	12	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	7	14	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	8	16	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	9	18	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	10	20	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	11	22	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	12	24	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	13	26	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	14	28	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	15	30	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	16	32	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	17	34	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	18	36	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	19	38	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	20	40	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	21	42	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	22	44	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	23	46	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	24	48	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	25	50	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	26	52	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	27	54	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	28	56	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	29	58	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	30	60	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	31	62	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	32	64	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	33	66	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	34	68	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	35	70	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	36	72	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	37	74	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	38	76	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	39	78	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	40	80	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	41	82	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	42	84	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	43	86	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	44	88	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	45	90	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	46	92	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	47	94	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	48	96	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	49	98	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	50	100	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	51	102	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	52	104	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	53	106	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	54	108	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	55	110	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	56	112	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	57	114	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	58	116	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	59	118	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	60	120	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	61	122	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	62	124	4	4
sift	128	B_TO_A	0	IDENTITY	UNIFORM	63	126	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	0	0	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	1	2	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	2	4	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	3	6	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	4	8	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	5	10	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	6	12	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	7	14	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	8	16	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	9	18	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	10	20	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	11	22	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	12	24	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	13	26	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	14	28	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	15	30	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	16	32	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	17	34	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	18	36	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	19	38	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	20	40	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	21	42	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	22	44	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	23	46	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	24	48	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	25	50	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	26	52	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	27	54	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	28	56	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	29	58	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	30	60	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	31	62	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	32	64	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	33	66	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	34	68	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	35	70	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	36	72	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	37	74	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	38	76	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	39	78	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	40	80	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	41	82	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	42	84	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	43	86	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	44	88	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	45	90	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	46	92	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	47	94	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	48	96	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	49	98	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	50	100	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	51	102	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	52	104	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	53	106	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	54	108	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	55	110	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	56	112	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	57	114	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	58	116	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	59	118	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	60	120	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	61	122	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	62	124	4	4
sift	128	B_TO_A	0	IDENTITY	ADAPTIVE	63	126	4	4
sift	128	B_TO_A	0	QR	UNIFORM	0	0	4	4
sift	128	B_TO_A	0	QR	UNIFORM	1	2	4	4
sift	128	B_TO_A	0	QR	UNIFORM	2	4	4	4
sift	128	B_TO_A	0	QR	UNIFORM	3	6	4	4
sift	128	B_TO_A	0	QR	UNIFORM	4	8	4	4
sift	128	B_TO_A	0	QR	UNIFORM	5	10	4	4
